Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2022,Aruba,ABW,0,0,0,17000,0,1700,0
2022,United States of America,USA,363059,1798792,0,-,0,0,0
2022,Afghanistan,AFG,52159,218,3254002,-,0,878451,88903
2022,Albania,ALB,2676,5,0,-,1950,0,8
2022,Egypt,EGY,294632,63881,0,-,10,0,0
2022,Argentina,ARG,4094,11100,0,165174,14,81619,466
2022,Armenia,ARM,34634,580,0,-,672,0,0
2022,Australia,AUS,54430,90549,0,-,8313,0,2500
2022,Austria,AUT,258613,53087,0,-,3256,0,0
2022,Azerbaijan,AZE,6414,152,658793,-,3585,0,0
2022,Belgium,BEL,150713,41810,0,-,957,0,695
2022,Bangladesh,BGD,952384,24,0,-,952309,174850,0
2022,Belarus,BLR,19715,639,0,-,5611,0,0
2022,Brazil,BRA,67522,206764,0,264040,5,0,0
2022,Bosnia and Herzegovina,BIH,274,66,96305,-,26,0,1290
2022,Bulgaria,BGR,176297,11165,0,-,1162,0,0
2022,Canada,CAN,140621,113066,0,-,4802,0,0
2022,China,CHN,320,785,0,-,0,0,0
2022,Chile,CHL,2133,11896,0,436845,0,83995,1927
2022,Colombia,COL,1607,22675,6834492,2453862,11,1102358,522523
2022,Cuba,CUB,174,8,0,-,0,0,0
2022,Cyprus,CYP,29280,36497,0,-,76,0,0
2022,Czechia,CZE,435212,986,0,-,1557,0,537
2022,Denmark,DNK,67772,2776,0,-,11564,0,0
2022,Dominican Rep.,DOM,546,2175,0,113722,0,0,0
2022,Ecuador,ECU,60125,9754,0,495304,0,0,0
2022,Estonia,EST,40806,631,0,-,68111,0,0
2022,Fiji,FJI,5,13,0,-,0,0,0
2022,Finland,FIN,69553,6046,0,-,3410,0,0
2022,France,FRA,612934,75047,0,-,3901,0,1716
2022,United Kingdom of Great Britain and Northern Ireland,GBR,328989,167289,0,-,5351,0,319
2022,Georgia,GEO,27839,1030,292856,-,525,0,0
2022,Germany,DEU,2075445,261019,0,-,29455,0,0
2022,Ghana,GHA,8531,2517,0,-,0,0,0
2022,Greece,GRC,160761,22139,0,-,4488,0,3641
2022,Guyana,GUY,12,163,0,19635,0,4200,0
2022,"China, Hong Kong SAR",HKG,285,0,0,-,0,0,0
2022,Croatia,HRV,20638,1200,0,-,734,0,213
2022,Hungary,HUN,35370,20,0,-,137,0,0
2022,Iceland,ISL,5240,981,0,-,64,0,0
2022,India,IND,242835,15794,0,-,21591,0,0
2022,Indonesia,IDN,9785,2889,0,-,928,0,177
2022,Ireland,IRL,81256,15108,0,-,21,0,0
2022,Iran (Islamic Rep. of),IRN,3425091,34,0,-,34,0,0
2022,Iraq,IRQ,273716,10621,1168619,-,47093,0,2012
2022,Italy,ITA,296181,79979,0,-,2998,0,0
2022,Jordan,JOR,697761,45177,0,-,64,0,1385
2022,Japan,JPN,15451,12473,0,-,508,0,0
2022,Kazakhstan,KAZ,308,840,0,-,8569,0,0
2022,Kenya,KEN,504473,69011,0,-,16779,401356,87196
2022,Kyrgyzstan,KGZ,274,669,0,-,203,0,0
2022,Rep. of Korea,KOR,3825,15952,0,-,241,0,0
2022,Kuwait,KWT,684,960,0,-,92000,0,13
2022,Libya,LBY,2208,42509,161613,-,0,0,0
2022,Lebanon,LBN,818861,7995,0,-,0,0,23596
2022,Sri Lanka,LKA,504,221,8540,-,36,0,0
2022,Lithuania,LTU,67638,491,0,-,2427,0,0
2022,Luxembourg,LUX,11952,2615,0,-,196,0,80
2022,Latvia,LVA,39055,249,0,-,187564,0,0
2022,Madagascar,MDG,119,114,0,-,0,0,12
2022,Rep. of Moldova,MDA,105374,3620,0,-,3307,0,0
2022,Mexico,MEX,95579,210609,262411,53027,13,0,451532
2022,Malaysia,MYS,134554,47433,0,-,115169,0,55961
2022,Montenegro,MNE,32438,167,0,-,503,0,476
2022,Mongolia,MNG,10,0,0,-,17,0,6
2022,Morocco,MAR,7907,10159,0,-,0,0,0
2022,Malta,MLT,11098,2070,0,-,0,0,0
2022,Nepal,NPL,19560,154,0,-,452,0,558
2022,Netherlands (Kingdom of the),NLD,237368,31594,0,-,4652,0,0
2022,Nigeria,NGA,91275,1623,3286881,-,0,0,0
2022,Norway,NOR,75311,3313,0,-,3980,0,0
2022,Nauru,NRU,45,22,0,-,5,0,0
2022,New Zealand,NZL,1791,573,0,-,0,0,0
2022,Pakistan,PAK,1743785,38277,0,-,55,1224393,37795
2022,Panama,PAN,2576,8475,0,146696,0,96800,248284
2022,Paraguay,PRY,5420,1200,0,1004,0,2155,0
2022,Peru,PER,6543,537461,0,969817,0,617687,7419
2022,Philippines,PHL,856,780,98094,-,267,0,128183
2022,Papua New Guinea,PNG,10524,3303,90634,-,0,0,0
2022,Poland,POL,971129,3020,0,-,1446,0,1328
2022,Portugal,PRT,59777,968,0,-,24,0,0
2022,Romania,ROU,105621,1172,0,-,300,0,156
2022,South Africa,ZAF,66596,84316,0,-,0,0,0
2022,Russian Federation,RUS,1277672,1066,0,-,95195,0,0
2022,Spain,ESP,314490,134580,0,-,7834,0,7788
2022,Serbia and Kosovo: S/RES/1244 (1999),SRB,26521,191,210308,-,2498,0,3533
2022,Sudan,SDN,1097128,31830,3552717,-,0,0,3681
2022,Slovakia,SVK,96563,104,0,-,2935,0,0
2022,Slovenia,SVN,8705,495,0,-,22,0,5
2022,Sweden,SWE,277726,14469,0,-,42511,0,0
2022,Switzerland,CHE,182474,14904,0,-,938,0,88
2022,Syrian Arab Rep.,SYR,13121,5538,6780994,-,160000,15209720,26980
2022,Thailand,THA,94472,926,0,-,574219,0,321
2022,Tajikistan,TJK,8608,1113,0,-,5391,0,0
2022,Turkmenistan,TKM,14,0,0,-,4527,0,0
2022,Tunisia,TUN,3299,5630,0,-,0,0,23
2022,Türkiye,TUR,3568259,272336,0,-,439,0,0
2022,United Arab Emirates,ARE,1399,7110,0,-,0,0,121
2022,Uganda,UGA,1463523,32166,0,-,67000,2581900,0
2022,Ukraine,UKR,2520,502,5914000,-,36233,0,497343
2022,Uruguay,URY,1115,16479,0,23023,5,9346,0
2022,Uzbekistan,UZB,13026,0,0,-,27389,0,0
2022,Venezuela (Bolivarian Republic of),VEN,29341,1045,0,-,0,0,3206577
2022,Zambia,ZMB,61159,2774,0,-,0,0,17157
2022,Israel,ISR,1207,25166,0,-,35,0,41601
2022,Angola,AGO,25514,30268,0,-,0,0,199
2022,Botswana,BWA,733,97,0,-,0,0,70
2022,Central African Rep.,CAF,11213,470,515665,-,0,0,0
2022,Cameroon,CMR,473887,9247,989079,-,0,0,1081
2022,Congo,COG,41557,18356,26875,-,0,0,10286
2022,Dem. Rep. of the Congo,COD,520544,2147,5541021,-,0,0,49
2022,Costa Rica,CRI,14088,239640,0,16598,235,3051,45
2022,Mozambique,MOZ,4992,25919,1028743,-,0,0,580
2022,Namibia,NAM,4685,2512,0,-,0,0,71
2022,Rwanda,RWA,120753,483,0,-,9500,11972,6515
2022,Eswatini,SWZ,1173,976,0,-,0,0,12
2022,Zimbabwe,ZWE,10475,11670,0,-,0,0,918
2022,Trinidad and Tobago,TTO,3424,20369,0,14178,0,5433,789
2022,Algeria,DZA,99107,3646,0,-,0,0,0
2022,Bahrain,BHR,255,122,0,-,0,0,0
2022,Ethiopia,ETH,879598,2214,2730000,-,0,596148,462
2022,Cote d'Ivoire,CIV,2251,3561,0,-,931076,0,139
2022,Qatar,QAT,197,140,0,-,1200,0,0
2022,Somalia,SOM,16023,18578,2967500,-,0,0,175
2022,Yemen,YEM,77458,13225,4523022,-,0,0,15
2022,Bolivia (Plurinational State of),BOL,1116,61,0,13531,0,5480,0
2022,Burundi,BDI,84636,3950,8495,-,783,0,1387
2022,Benin,BEN,1779,1460,0,-,0,0,0
2022,Burkina Faso,BFA,34375,551,1882391,-,0,0,0
2022,Chad,TCD,592764,4953,381289,-,0,0,101551
2022,Gabon,GAB,205,75,0,-,0,0,0
2022,Guinea,GIN,2199,53,0,-,0,0,0
2022,Mali,MLI,60637,880,379932,-,0,0,0
2022,Malawi,MWI,35162,21263,0,-,0,0,135
2022,Senegal,SEN,11802,260,0,-,0,0,0
2022,South Sudan,SSD,308369,2137,1474679,-,10500,371594,393
2022,United Rep. of Tanzania,TZA,206229,28745,0,-,0,0,12222
2022,Togo,TGO,9300,576,0,-,0,0,0
2022,Mauritania,MRT,100981,5389,0,-,0,0,0
2022,Niger,NER,255307,46705,376809,-,0,0,37591
2022,Guatemala,GTM,701,1519,0,-,0,406161,146900
2022,Bahamas,BHS,10,31,0,-,0,0,723
2022,Gambia,GMB,3685,198,0,-,0,0,0
2022,Liberia,LBR,620,821,0,-,0,0,0
2022,Saudi Arabia,SAU,454,3941,0,-,70000,0,0
2022,Liechtenstein,LIE,524,6,0,-,0,0,0
2022,Lesotho,LSO,251,288,0,-,0,0,6
2022,North Macedonia,MKD,7065,19,0,-,453,0,11
2022,Comoros,COM,12,5,0,-,0,0,0
2022,Djibouti,DJI,20383,9174,0,-,0,640,0
2022,Honduras,HND,165,107,247090,-,0,0,192977
2022,Nicaragua,NIC,312,124,0,-,0,0,578
2022,El Salvador,SLV,104,54,71500,-,0,85061,6205
2022,Suriname,SUR,25,2546,0,-,0,0,5
2022,Belize,BLZ,145,1982,0,-,0,0,9452
2022,Cayman Islands,CYM,47,242,0,-,0,0,222
2022,Curacao ,CUW,0,0,0,14000,0,1700,0
2022,Eritrea,ERI,119,0,0,-,0,0,17
2022,Anguilla,AIA,0,0,0,-,0,0,39
2022,Antigua and Barbuda,ATG,0,0,0,-,0,0,169
2022,Jamaica,JAM,31,0,0,-,0,0,67
2022,Guinea-Bissau,GNB,24,30,0,-,0,0,0
2022,Sierra Leone,SLE,0,0,0,-,0,0,324
2022,Monaco,MCO,17,0,0,-,0,0,0
2022,Oman,OMN,295,421,0,-,0,0,0
2022,Turks and Caicos Islands,TCA,7,0,0,-,0,0,0
2022,Cambodia,KHM,24,12,0,-,75000,0,0
2022,Myanmar,MMR,0,0,1504848,-,630000,0,0
2022,Solomon Islands,SLB,0,0,1000,-,0,0,0
2022,Brunei Darussalam,BRN,0,0,0,-,20863,0,0
2022,Cabo Verde,CPV,0,0,0,-,115,0,0
2022,Singapore,SGP,0,0,0,-,1109,0,0
2022,Viet Nam,VNM,0,0,0,-,26811,0,0
2022,Grenada,GRD,0,0,0,-,0,0,234
2022,Saint Kitts and Nevis,KNA,0,0,0,-,0,0,60
2022,Sint Maarten (Dutch part),SXM,0,122,0,-,0,0,0
2022,Saint Vincent and the Grenadines,VCT,0,0,0,-,0,0,5
2023,Afghanistan,AFG,34826,250,3222397,-,0,1584157,33712
2023,Albania,ALB,5079,8,0,-,2018,0,6
2023,Egypt,EGY,240507,232244,0,-,10,0,0
2023,Argentina,ARG,4104,7129,0,215541,22,60765,475
2023,Armenia,ARM,150080,615,0,-,520,0,0
2023,Australia,AUS,34502,82625,0,-,8073,0,1514
2023,Austria,AUT,257811,38039,0,-,3194,0,0
2023,Azerbaijan,AZE,5771,168,657749,-,513,0,0
2023,Belgium,BEL,167831,44600,0,-,936,0,679
2023,Benin,BEN,2825,10133,8785,-,0,0,0
2023,Belarus,BLR,39981,405,0,-,5567,0,0
2023,Brazil,BRA,235765,68101,0,363081,5,0,0
2023,Bosnia and Herzegovina,BIH,348,81,91223,-,21,0,2545
2023,Bulgaria,BGR,97618,11941,0,-,817,0,0
2023,Canada,CAN,169448,197961,0,-,5222,0,0
2023,China,CHN,296,699,0,-,0,0,0
2023,Chile,CHL,2338,12694,0,435728,1708,101855,1708
2023,Colombia,COL,1382,23842,6918373,2851160,0,885300,516614
2023,Cuba,CUB,136,25,0,-,0,0,6
2023,Cyprus,CYP,39044,31664,0,-,86,0,0
2023,Czechia,CZE,377120,1239,0,-,1611,0,537
2023,Denmark,DNK,68912,2356,0,-,8657,0,0
2023,Dominican Rep.,DOM,778,4185,0,121841,0,0,0
2023,Ecuador,ECU,62899,7700,0,469441,0,0,0
2023,Estonia,EST,42005,346,0,-,65944,0,0
2023,Ethiopia,ETH,979846,63747,2561497,-,0,1115201,604
2023,Fiji,FJI,15,0,0,-,0,0,0
2023,Finland,FIN,89869,7410,0,-,2974,0,0
2023,France,FRA,664366,79642,0,-,4174,0,1716
2023,Gambia,GMB,3809,446,0,-,0,0,0
2023,United Kingdom of Great Britain and Northern Ireland,GBR,448620,138156,0,-,4547,0,362
2023,Georgia,GEO,26019,1051,295831,-,530,0,0
2023,Germany,DEU,2593007,361493,0,-,28964,0,0
2023,Ghana,GHA,7057,4209,0,-,0,0,0
2023,Greece,GRC,192384,32687,0,-,3743,0,2722
2023,Guyana,GUY,27,55,0,21668,0,0,0
2023,"China, Hong Kong SAR",HKG,301,0,0,-,0,0,0
2023,Croatia,HRV,25029,1597,0,-,742,0,202
2023,Hungary,HUN,63180,5,0,-,137,0,6
2023,Iceland,ISL,8715,2850,0,-,31,0,0
2023,India,IND,252867,11926,0,-,22646,0,0
2023,Indonesia,IDN,8450,3793,0,-,2093,0,176
2023,Ireland,IRL,113902,22250,0,-,53,0,0
2023,Iran (Islamic Rep. of),IRN,3764517,0,0,-,0,0,0
2023,Iraq,IRQ,286480,12586,1123663,-,233,0,2538
2023,Italy,ITA,298296,146922,0,-,3000,0,0
2023,Jordan,JOR,684066,39775,0,-,68,0,1293
2023,Japan,JPN,22335,23916,0,-,503,0,0
2023,Kazakhstan,KAZ,42685,476,0,-,7892,0,0
2023,Kenya,KEN,538899,152942,0,-,9800,401356,64971
2023,Kyrgyzstan,KGZ,27790,1203,0,-,20,0,0
2023,Rep. of Korea,KOR,4053,26738,0,-,246,0,0
2023,Kuwait,KWT,572,879,0,-,92000,0,13
2023,Libya,LBY,1837,54837,125802,-,0,0,0
2023,Lebanon,LBN,788472,7614,0,-,0,0,30053
2023,Sri Lanka,LKA,377,178,4806,-,111,0,0
2023,Lithuania,LTU,80225,333,0,-,2331,0,0
2023,Luxembourg,LUX,13735,3745,0,-,201,0,80
2023,Latvia,LVA,45761,552,0,-,180614,0,0
2023,Madagascar,MDG,49,938,0,-,0,0,19
2023,North Macedonia,MKD,18898,39,0,-,275,0,33
2023,Rep. of Moldova,MDA,120947,556,0,-,3267,0,0
2023,Mexico,MEX,124784,257396,262411,73753,13,0,69497
2023,Malaysia,MYS,135872,48571,0,-,117070,0,55814
2023,Mongolia,MNG,10,0,0,-,17,0,5
2023,Morocco,MAR,8295,11340,0,-,0,0,0
2023,Malta,MLT,11724,815,0,-,0,0,0
2023,Nepal,NPL,19582,300,0,-,489,0,567
2023,Netherlands (Kingdom of the),NLD,237767,43915,0,-,4816,0,0
2023,Nigeria,NGA,69940,34170,3313601,-,0,0,326
2023,Norway,NOR,103606,4967,0,-,2046,0,0
2023,New Zealand,NZL,1837,1839,0,-,29,0,0
2023,Oman,OMN,300,421,0,-,0,0,0
2023,Pakistan,PAK,1988231,61648,0,-,59,1400000,142
2023,Panama,PAN,2724,8419,0,57358,0,14521,96324
2023,Paraguay,PRY,5991,1598,0,-,5,3461,0
2023,Peru,PER,6712,508429,0,1043622,32,17847,18916
2023,Philippines,PHL,934,1029,108237,-,28,0,126228
2023,Papua New Guinea,PNG,10523,3298,95000,-,0,134,1736
2023,Poland,POL,971478,6989,0,-,1533,0,1328
2023,Portugal,PRT,62807,1267,0,-,31,0,0
2023,Romania,ROU,87487,1068,0,-,287,0,159
2023,South Africa,ZAF,67145,86911,0,-,0,0,0
2023,Russian Federation,RUS,1230131,891,0,-,92209,0,0
2023,Rwanda,RWA,115643,12660,0,-,9500,12139,7060
2023,Senegal,SEN,11856,770,0,-,0,0,0
2023,Spain,ESP,385701,204270,0,-,8579,0,0
2023,Serbia and Kosovo: S/RES/1244 (1999),SRB,29365,163,209790,-,2329,0,3023
2023,Sudan,SDN,922474,39510,9052822,-,0,21661,3636
2023,Suriname,SUR,24,2609,0,-,0,0,5
2023,Slovakia,SVK,126866,92,0,-,49,0,0
2023,Slovenia,SVN,10525,1143,0,-,10,0,5
2023,Sweden,SWE,237632,11271,0,-,18698,0,0
2023,Switzerland,CHE,192507,18884,0,-,1185,0,98
2023,Syrian Arab Rep.,SYR,12011,4861,7248188,-,160000,16041461,0
2023,Thailand,THA,87314,1674,0,-,587132,0,584
2023,Tajikistan,TJK,10092,1387,0,-,3827,0,0
2023,Turkmenistan,TKM,3614,0,0,-,3583,0,0
2023,Tunisia,TUN,3994,11093,0,-,0,0,23
2023,Türkiye,TUR,3251127,222069,0,-,415,0,0
2023,United Arab Emirates,ARE,1416,7044,0,-,0,0,113
2023,Uganda,UGA,1577498,37657,0,-,67000,2659400,0
2023,Ukraine,UKR,2512,498,3689000,-,35765,0,958361
2023,Uruguay,URY,1285,24173,0,28628,5,8726,0
2023,United States of America,USA,409202,2601467,0,-,0,0,0
2023,Uzbekistan,UZB,9405,0,0,-,22496,0,0
2023,Venezuela (Bolivarian Republic of),VEN,29336,1578,0,-,0,0,3206577
2023,Zambia,ZMB,72411,5549,0,-,0,0,17550
2023,Israel,ISR,1235,25464,0,-,35,0,40477
2023,Angola,AGO,25174,30268,0,-,0,0,199
2023,Botswana,BWA,761,97,0,-,0,0,71
2023,Central African Rep.,CAF,32913,32506,511803,-,0,0,0
2023,Cameroon,CMR,485285,10288,1075252,-,0,0,13827
2023,Congo,COG,60637,6585,0,-,0,0,12545
2023,Dem. Rep. of the Congo,COD,523392,3106,6251790,-,0,0,61
2023,Costa Rica,CRI,23422,193718,0,18448,327,3109,32853
2023,Namibia,NAM,5157,1978,0,-,0,0,77
2023,Eswatini,SWZ,1202,1772,0,-,0,0,12
2023,Zimbabwe,ZWE,10114,12451,0,-,0,0,1003
2023,Bahrain,BHR,254,122,0,-,0,0,0
2023,Cote d'Ivoire,CIV,2370,37460,0,-,930978,0,0
2023,Qatar,QAT,197,140,0,-,1200,0,0
2023,Somalia,SOM,17770,20500,3860099,-,0,0,209
2023,Yemen,YEM,55568,15259,4516341,-,0,0,15
2023,Bolivia (Plurinational State of),BOL,1117,76,0,16103,0,13881,0
2023,Guatemala,GTM,989,2051,0,-,0,406161,148026
2023,Liechtenstein,LIE,597,10,0,-,0,0,0
2023,Montenegro,MNE,64733,174,0,-,416,0,213
2023,Burundi,BDI,85229,2270,8177,-,791,0,1292
2023,Burkina Faso,BFA,37735,1146,2062534,-,0,0,0
2023,Chad,TCD,1100921,4916,215928,-,0,0,100543
2023,Gabon,GAB,204,86,0,-,0,0,9
2023,Guinea,GIN,2191,54,0,-,0,0,0
2023,Mali,MLI,66443,273,354739,-,0,0,0
2023,Malawi,MWI,35201,17695,0,-,0,0,5
2023,Mozambique,MOZ,5152,18438,582764,-,0,0,1323
2023,South Sudan,SSD,381236,4871,1236672,-,10500,454831,0
2023,United Rep. of Tanzania,TZA,188953,40143,0,-,0,0,12290
2023,Togo,TGO,28240,4400,9680,-,0,0,0
2023,Algeria,DZA,98590,3601,0,-,0,0,0
2023,Mauritania,MRT,112549,5927,0,-,0,0,0
2023,Niger,NER,269996,35570,335277,-,0,0,45410
2023,Bangladesh,BGD,971984,0,0,-,971898,537900,0
2023,Nauru,NRU,0,13,0,-,0,0,0
2023,Trinidad and Tobago,TTO,3205,28617,0,7906,0,5433,1040
2023,Bahamas,BHS,0,31,0,-,0,0,723
2023,Liberia,LBR,1164,618,0,-,0,0,0
2023,Mauritius,MUS,5,19,0,-,0,0,0
2023,Saudi Arabia,SAU,477,3945,0,-,70000,0,0
2023,Vanuatu,VUT,0,5,0,-,0,0,0
2023,Lesotho,LSO,319,363,0,-,0,0,6
2023,Saint Kitts and Nevis,KNA,19,0,0,-,0,0,0
2023,Comoros,COM,10,0,0,-,0,0,0
2023,Djibouti,DJI,23063,8442,0,-,0,0,0
2023,Haiti,HTI,0,0,313901,-,0,0,5
2023,Honduras,HND,182,101,247090,-,0,0,173569
2023,Nicaragua,NIC,311,124,0,-,0,0,583
2023,El Salvador,SLV,106,263,71500,-,0,346175,118591
2023,Sint Maarten (Dutch part),SXM,5,128,0,-,0,0,10
2023,Belize,BLZ,214,1973,0,-,0,0,9452
2023,Cayman Islands,CYM,49,93,0,-,0,0,222
2023,Eritrea,ERI,119,0,0,-,0,0,18
2023,Barbados,BRB,5,10,0,-,0,0,0
2023,Saint Lucia,LCA,0,5,0,-,0,0,0
2023,Guinea-Bissau,GNB,24,30,0,-,0,0,0
2023,Sierra Leone,SLE,0,0,0,-,0,0,210
2023,Monaco,MCO,17,0,0,-,0,0,0
2023,Viet Nam,VNM,19,0,0,-,26811,0,0
2023,Turks and Caicos Islands,TCA,7,0,0,-,0,0,0
2023,Cambodia,KHM,24,5,0,-,75000,0,0
2023,Myanmar,MMR,0,0,2607645,-,632789,0,0
2023,Solomon Islands,SLB,0,0,1000,-,0,0,0
2023,Brunei Darussalam,BRN,0,0,0,-,20863,0,0
2023,Cabo Verde,CPV,0,0,0,-,115,0,0
2023,Singapore,SGP,0,0,0,-,1109,0,0
2023,Aruba,ABW,0,0,0,17085,0,0,0
2023,Curacao ,CUW,0,0,0,14000,0,0,0
